,SurahNo,AyahNo,EnglishTranslation,Tafseer
708,5,40,"Knowest thou not that to Allah (alone) belongeth the dominion of the heavens and the earth? He punisheth whom He pleaseth, and He forgiveth whom He pleaseth: and Allah hath power over all things.",b'There is no commentary by Abul Maududi available for this verse.'
709,5,41,"O Messenger! let not those grieve thee, who race each other into unbelief: (whether it be) among those who say ""We believe"" with their lips but whose hearts have no faith; or it be among the Jews,- men who will listen to any lie,- will listen even to others who have never so much as come to thee. They change the words from their (right) times and places: they say, ""If ye are given this, take it, but if not, beware!"" If any one's trial is intended by Allah, thou hast no authority in the least for him against Allah. For such - it is not Allah's will to purify their hearts. For them there is disgrace in this world, and in the Hereafter a heavy punishment.","b'62. This verse refers to those who devoted all their capacities and efforts to ensure that the status quo ante of Jahiliyah remained intact, and that the reformative mission of Islam should fail to set right the corruption that had come down to them from the past. Disregarding all moral scruples, these people used the vilest methods against the Prophet (peace be on him). They deliberately suppressed the truth and resorted to lying, deceit, treachery and low cunning in order to frustrate the mission of the Prophet (peace be on him) who was engaged in a tireless struggle actuated by absolute selflessness and benevolence, and who sought the welfare of all human beings, including that of his opponents. All this naturally hurt the Prophet (peace be on him). A sincere person must feel heartbroken when he sees men of low moral character, driven by ignorance, blind selfishness and bigotry, resort to vile methods in opposition to his mission, which is actuated by charity and goodwill towards all men. Hence the purpose of God\x92s directive here is not to ask the Prophet (peace be on him) to abstain from this natural feeling of grief but rather that he should not allow such feelings to undermine his morale and that he should persevere in his task. As for the opponents of the Prophet (peace be on him), in view of their low morals, their mean conduct was not at all contrary to expectations.'"
710,5,42,"(They are fond of) listening to falsehood, of devouring anything forbidden. If they do come to thee, either judge between them, or decline to interfere. If thou decline, they cannot hurt thee in the least. If thou judge, judge in equity between them. For Allah loveth those who judge in equity.",b'69. Here pointed reference is made to judges and jurisconsults who accept false evidence and invent reports in order to issue verdicts contrary to justice and in favour of either those who bribe them or with whom their illegitimate interests lie.'
711,5,43,"But why do they come to thee for decision, when they have (their own) law before them?- therein is the (plain) command of Allah; yet even after that, they would turn away. For they are not (really) People of Faith.","b'71. In this verse, God unmasks completely the dishonesty of these people. It shows how these so-called religious people who had cast the spell of their religious piety and knowledge of the Scriptures over the whole of Arabia had set aside a categorical injunction of the book which they themselves recognized to be the Book of God, and which they professed to believe in. They had referred that judicial case to the Prophet (peace be on him) for his decision even though they vehemently denied his prophethood. This made it quite clear that there was nothing to which they subscribed sincerely. Their true religion consisted merely of worshipping their interests and desires. They were ready to turn their backs upon the very book which they recognized as the Book of God merely because some of its injunctions were unpalatable to them, and in such cases they did not mind approaching one whom they regarded as an imposter (may God be our refuge from such a blasphemy) in the hope that they might be able to obtain a judgement to their liking.'"
712,5,44,"It was We who revealed the law (to Moses): therein was guidance and light. By its standard have been judged the Jews, by the prophets who bowed (as in Islam) to Allah's will, by the rabbis and the doctors of law: for to them was entrusted the protection of Allah's book, and they were witnesses thereto: therefore fear not men, but fear me, and sell not my signs for a miserable price. If any do fail to judge by (the light of) what Allah hath revealed, they are (no better than) Unbelievers.","b'72.Here the verse tells the Jews that all the Prophets were muslims (submitters to God) whereas the Jews had deviated from islam (submission to God), and true to their chauvinistic sectarianism, were content with remaining merely \x91Jews\x92.'"
713,5,45,"We ordained therein for them: ""Life for life, eye for eye, nose or nose, ear for ear, tooth for tooth, and wounds equal for equal."" But if any one remits the retaliation by way of charity, it is an act of atonement for himself. And if any fail to judge by (the light of) what Allah hath revealed, they are (No better than) wrong-doers.",b'74. Cf. Exodus 21: 23-5.'
714,5,46,"And in their footsteps We sent Jesus the son of Mary, confirming the Law that had come before him: We sent him the Gospel: therein was guidance and light, and confirmation of the Law that had come before him: a guidance and an admonition to those who fear Allah.","b'76.The Messiah did not expound a new religion. That very religion which had been the religion of all the Prophets was also his religion, and it is towards that religion that he called people. He believed in the true teachings of the Torah which were extant in his time, and the Gospels (Injil) confirm this (see, for example, Matthew 5: 17-18). The Qur\x92an repeatedly stresses the fundamental fact that none of the Prophets of God, no matter in which part of the world they appeared, denied the Prophets who had preceded them. On the contrary, each Prophet confirmed the message of his predecessors and sought to promote the mission which was the sacred legacy of them all. God did not reveal any of the Books in order to repudiate the previous ones; each confirmed and supported the preceding ones.'"
715,5,47,"Let the people of the Gospel judge by what Allah hath revealed therein. If any do fail to judge by (the light of) what Allah hath revealed, they are (no better than) those who rebel.","b'77. Here three judgements are issued against those who do not judge in accordance with the Law revealed by God. The first is that they are kafir (unbelievers); the second, that they are zalim (wrong-doers); and the third, that they are fasiq (transgressors). This clearly means that one who, in disregard of God\x92s commandments and of the Laws revealed by Him, pronounces judgements according to man-made laws (whether made by himself or by others) is guilty of three major offences. First, his act amounts to rejecting the commandment of God, and this rejection is equivalent to kufr (infidelity, unbelief). Second, his act is contrary to justice, for only the laws made by God are in complete accord with the dictates of justice. Any judgement in contravention of God\x92s injunctions amounts, therefore, to committing injustice (zulm). Third, when he enforces either his own or anyone else\x92s law in disregard of the Laws of his Lord he steps out of the fold of subjection and obedience, and this constitutes fisq (transgression).'"
716,5,48,"To thee We sent the Scripture in truth, confirming the scripture that came before it, and guarding it in safety: so judge between them by what Allah hath revealed, and follow not their vain desires, diverging from the Truth that hath come to thee. To each among you have we prescribed a law and an open way. If Allah had so willed, He would have made you a single people, but (His plan is) to test you in what He hath given you: so strive as in a race in all virtues. The goal of you all is to Allah; it is He that will show you the truth of the matters in which ye dispute;","b'78. This points to a fact of major significance. It could also have been said that the Qur\x92an confirms all those parts of the earlier divine books which are still extant in their true and original form. But the sense has been conveyed by employing the word \x91the Book\x92 rather than \x91the previous Books\x92. This expression reveals that the Qur\x92an and all those Books sent down by God at various times and in different languages in reality constitute one and the same Book. Their Author is one and the same; their aim and purpose are the same; their teaching is the same; and the knowledge which they seek to impart to mankind is the same. The difference between these Books lies in their modes of expression, and this was necessarily so since they were addressed to different audiences. It is, therefore, not merely that these divine books support rather than contradict each other but that they are actually different editions of one and the same book \x96 \x91the Book\x92.'"
717,5,49,"And this (He commands): Judge thou between them by what Allah hath revealed, and follow not their vain desires, but beware of them lest they beguile thee from any of that (teaching) which Allah hath sent down to thee. And if they turn away, be assured that for some of their crime it is Allah's purpose to punish them. And truly most men are rebellious.","b'82. Following this parenthetical clause, the previous subject is resumed.'"
718,5,50,"Do they then seek after a judgment of (the days of) ignorance? But who, for a people whose faith is assured, can give better judgment than Allah?","b'83. The word jahiliyah (literally \x91ignorance\x92) is used as an antonym to Islam. Islam is the way of \x91ilm (true knowledge), since it is God Himself Who has shown this way, and His knowledge embraces everything. In contrast is the way that diverges from Islam \x96 the path of Ignorance (jahiliyah). The pre-Islamic period in Arabia is designated as jahiliyah because this was the era when human beings derived their norms from either superstitious beliefs, conjectures and imagination or from their desires. Whenever such an attitude is adopted, it is bound to be designated as Ignorance. The appellation \x91jahiliyah\x92 will apply to every aspect of life which is developed in disregard of the knowledge made available by God, based only on man\x92s partial knowledge blended with imagination, superstitious fancies, conjectures and desires.'"
719,5,51,O ye who believe! take not the Jews and the Christians for your friends and protectors: They are but friends and protectors to each other. And he amongst you that turns to them (for friendship) is of them. Verily Allah guideth not a people unjust.,b'There is no commentary by Abul Maududi available for this verse.'
720,5,52,"Those in whose hearts is a disease - thou seest how eagerly they run about amongst them, saying: ""We do fear lest a change of fortune bring us disaster."" Ah! perhaps Allah will give (thee) victory, or a decision according to His will. Then will they repent of the thoughts which they secretly harboured in their hearts.","b'84. The outcome of the conflict in Arabia between Islam and unbelief (kufr) had not crystallized. Although Islam had become a formidable force owing to the daring, courage and sacrifices of its followers, the forces opposed to it were also tremendously powerful. To an objective observer it must have seemed that either party had an equal chance of success, and so the hypocrites, apparently an integral part of the Muslim body politic, sought to maintain good relations with the Jews and the. Christians as well. They expected refuge and protection from the Jews in case Islam was defeated. Moreover, the Jews and Christians held the greatest economic power in Arabia insofar as the banking system and the greenest and most fertile regions of Arabia were in their possession. For these reasons the hypocrites were keen to maintain good relations with them: they thought that to regard the conflict between Islam and unbelief as crucially important, and to sever their relations with all those currently in conflict with Islam, would be too great a risk both politically and economically.'"
721,5,53,"And those who believe will say: ""Are these the men who swore their strongest oaths by Allah, that they were with you?"" All that they do will be in vain, and they will fall into (nothing but) ruin.","b'86. However much they might profess to follow Islam \x96 by performing Prayers, by observing Fasts, by paying Zakah, by taking part in wars in the cause of God \x96 all was reduced to naught because they had not devoted themselves to the service of the One True God. In pursuit of their worldly ambitions they had split their souls into two, distributing half to God and half to those in rebellion against Him.'"
722,5,54,"O ye who believe! if any from among you turn back from his Faith, soon will Allah produce a people whom He will love as they will love Him,- lowly with the believers, mighty against the rejecters, fighting in the way of Allah, and never afraid of the reproaches of such as find fault. That is the grace of Allah, which He will bestow on whom He pleaseth. And Allah encompasseth all, and He knoweth all things.","b'87. To be \x91humble towards believers\x92 signifies that a person should never use his strength against the believers. His native intelligence, shrewdness, ability, influence, wealth, physical prowess should not be used for the purpose of either suppressing, persecuting or causing harm to the Muslims. Among themselves, the Muslims should always find him gentle, merciful, sympathetic and mild tempered.'"
723,5,55,"Your (real) friends are (no less than) Allah, His Messenger, and the (fellowship of) believers,- those who establish regular prayers and regular charity, and they bow down humbly (in worship).",b'There is no commentary by Abul Maududi available for this verse.'
724,5,56,"As to those who turn (for friendship) to Allah, His Messenger, and the (fellowship of) believers,- it is the fellowship of Allah that must certainly triumph.",b'There is no commentary by Abul Maududi available for this verse.'
725,5,57,"O ye who believe! take not for friends and protectors those who take your religion for a mockery or sport,- whether among those who received the Scripture before you, or among those who reject Faith; but fear ye Allah, if ye have faith (indeed).",b'There is no commentary by Abul Maududi available for this verse.'
726,5,58,When ye proclaim your call to prayer they take it (but) as mockery and sport; that is because they are a people without understanding.,"b'89. When they hear the call to Prayer the unbelievers make fun of it by mimicry, pervert its words to ridicule it, and utter disparaging and taunting remarks about it.'"
727,5,59,"Say: ""O people of the Book! Do ye disapprove of us for no other reason than that we believe in Allah, and the revelation that hath come to us and that which came before (us), and (perhaps) that most of you are rebellious and disobedient?""",b'There is no commentary by Abul Maududi available for this verse.'
728,5,60,"Say: ""Shall I point out to you something much worse than this, (as judged) by the treatment it received from Allah? those who incurred the curse of Allah and His wrath, those of whom some He transformed into apes and swine, those who worshipped evil;- these are (many times) worse in rank, and far more astray from the even path!""","b'91. This alludes to the Jews whose history shows that they were subjected, over and over again, to the wrath and scourge of God. When they desecrated the law of the Sabbath the faces of many of them were distorted, and subsequently their degeneration reached such a low point that they took to worshipping Satan quite openly. The purpose of saying all this is to draw attention to their criminal boldness while they had sunk to the lowest level of evil, transgression and moral decadence, they vigorously opposed all those who, thanks to their faith, lived a truly pious and righteous life.'"
729,5,61,"When they come to thee, they say: ""We believe"": but in fact they enter with a mind against Faith, and they go out with the same but Allah knoweth fully all that they hide.",b'There is no commentary by Abul Maududi available for this verse.'
730,5,62,"Many of them dost thou see, racing each other in sin and rancour, and their eating of things forbidden. Evil indeed are the things that they do.",b'There is no commentary by Abul Maududi available for this verse.'
731,5,63,Why do not the rabbis and the doctors of Law forbid them from their (habit of) uttering sinful words and eating things forbidden? Evil indeed are their works.,b'There is no commentary by Abul Maududi available for this verse.'
732,5,64,"The Jews say: ""Allah's hand is tied up."" Be their hands tied up and be they accursed for the (blasphemy) they utter. Nay, both His hands are widely outstretched: He giveth and spendeth (of His bounty) as He pleaseth. But the revelation that cometh to thee from Allah increaseth in most of them their obstinate rebellion and blasphemy. Amongst them we have placed enmity and hatred till the Day of Judgment. Every time they kindle the fire of war, Allah doth extinguish it; but they (ever) strive to do mischief on earth. And Allah loveth not those who do mischief.","b'92. To say that someone\x92s hands are tied, in Arabic usage, is to say that he is niggardly, that something prevents him from being generous and bountiful. Thus the Jewish observation does not mean that God\x92s Hand is literally tied but that He is niggardly and miserly. For centuries the Jews had lived in humiliation and misery. Their past greatness had become legend, seemingly too remote ever to be restored, and so they would blasphemously lament that God had become a miser and that as the door to His treasury was now permanently locked, that He had nothing to offer them except suffering and calamity. This attitude, however, is not confined to the Jews. When confronted with trials and tribulations foolish people of other nations, too, are prone to utter such blasphemies rather than turn to God with humble prayer and supplication.'"
733,5,65,"If only the People of the Book had believed and been righteous, We should indeed have blotted out their iniquities and admitted them to gardens of bliss.",b'There is no commentary by Abul Maududi available for this verse.'
734,5,66,"If only they had stood fast by the Law, the Gospel, and all the revelation that was sent to them from their Lord, they would have enjoyed happiness from every side. There is from among them a party on the right course: but many of them follow a course that is evil.","b'96 In the Old Testament, Leviticus (chapter 26) and Deuteronomy (chapter 28) record a sermon of Moses in which he impresses upon Israel, in great detail, the bounties and blessings of God with which they would be endowed if they obeyed His commandments, and the afflictions, scourges and devastations that would descend upon them if they disobeyed Him and rejected the Book of God. That sermon of Moses is the best explanation of this verse of the Qur\x92an.'"
735,5,67,"O Messenger! proclaim the (message) which hath been sent to thee from thy Lord. If thou didst not, thou wouldst not have fulfilled and proclaimed His mission. And Allah will defend thee from men (who mean mischief). For Allah guideth not those who reject Faith.",b'There is no commentary by Abul Maududi available for this verse.'
736,5,68,"Say: ""O People of the Book! ye have no ground to stand upon unless ye stand fast by the Law, the Gospel, and all the revelation that has come to you from your Lord."" It is the revelation that cometh to thee from thy Lord, that increaseth in most of them their obstinate rebellion and blasphemy. But sorrow thou not over (these) people without Faith.",b'97. By \x91establishing the Torah and the Gospel\x92 is meant observing them honestly and making them the law of life.'
737,5,69,"Those who believe (in the Qur'an), those who follow the Jewish (scriptures), and the Sabians and the Christians,- any who believe in Allah and the Last Day, and work righteousness,- on them shall be no fear, nor shall they grieve.","b'99. See Towards Understanding the Qur\x92an, vol. I, (Surah 2, verse 62, and n 80).'"
738,5,70,"We took the covenant of the Children of Israel and sent them messengers, every time, there came to them a messenger with what they themselves desired not - some (of these) they called impostors, and some they (go so far as to) slay.",b'There is no commentary by Abul Maududi available for this verse.'
739,5,71,They thought there would be no trial (or punishment); so they became blind and deaf; yet Allah (in mercy) turned to them; yet again many of them became blind and deaf. But Allah sees well all that they do.,b'There is no commentary by Abul Maududi available for this verse.'
740,5,72,"They do blaspheme who say: ""Allah is Christ the son of Mary."" But said Christ: ""O Children of Israel! worship Allah, my Lord and your Lord."" Whoever joins other gods with Allah,- Allah will forbid him the garden, and the Fire will be his abode. There will for the wrong-doers be no one to help.",b'There is no commentary by Abul Maududi available for this verse.'
741,5,73,"They do blaspheme who say: Allah is one of three in a Trinity: for there is no god except One Allah. If they desist not from their word (of blasphemy), verily a grievous penalty will befall the blasphemers among them.",b'There is no commentary by Abul Maududi available for this verse.'
742,5,74,"Why turn they not to Allah, and seek His forgiveness? For Allah is Oft-forgiving, Most Merciful.",b'There is no commentary by Abul Maududi available for this verse.'
743,5,75,Christ the son of Mary was no more than a messenger; many were the messengers that passed away before him. His mother was a woman of truth. They had both to eat their (daily) food. See how Allah doth make His signs clear to them; yet see in what ways they are deluded away from the truth!,"b'100. In these few words the Christian doctrine of the divinity of Christ is repudiated. The nature of the Messiah is clear from the indications given here; he was merely a human being. He was one born from the womb of a woman, who had a known genealogy, who possessed a physical body, who was subject to all the limitations of a human being and who had all the attributes characteristic of human beings. He slept, ate, felt the discomfort of heat and cold and was so human that he was even put to the test by Satan. How could any reasonable person believe that such a being was either God or a partner or associate of God in His godhead? But the Christians continue to insist on the divinity of the Messiah, whose life has been portrayed in their own Scriptures as that of a human. The fact of the matter is that they do not believe at all in the historical Messiah. They have woven a Messiah out of their imagination and have deified that imaginary being.'"
744,5,76,"Say: ""Will ye worship, besides Allah, something which hath no power either to harm or benefit you? But Allah,- He it is that heareth and knoweth all things.""",b'There is no commentary by Abul Maududi available for this verse.'
745,5,77,"Say: ""O people of the Book! exceed not in your religion the bounds (of what is proper), trespassing beyond the truth, nor follow the vain desires of people who went wrong in times gone by,- who misled many, and strayed (themselves) from the even way.","b'101. This refers to those misguided nations from whom the Christians derived their false beliefs and ways, particularly to the Hellenistic philosophers under the spell of whose ideas the Christians had veered from the straight way they had originally followed. The beliefs of the early followers of the Messiah were mainly in conformity with the reality they had witnessed, and conformed to the teachings they had received from their guide and mentor. But they later resorted to an exaggerated veneration of Jesus, and interpreted their own beliefs in the light of the philosophical doctrines and superstitious ideas of the neighbouring nations. Thus they invented an altogether new religion not even remotely related to the original teachings of the Messiah. In this connection the observations of a Christian theologian, the Reverend Charles Anderson Scott are significant. In a lengthy article entitled \x91Jesus\x92 Christ\x92, published in the fourteenth edition of Encyclopaedia Britannica, he writes:'"
746,5,78,"Curses were pronounced on those among the Children of Israel who rejected Faith, by the tongue of David and of Jesus the son of Mary: because they disobeyed and persisted in excesses.",b'There is no commentary by Abul Maududi available for this verse.'
747,5,79,Nor did they (usually) forbid one another the iniquities which they committed: evil indeed were the deeds which they did.,"b'102. The corruption of any nation begins with that of a few individuals. If the collective conscience of that nation is alive, the pressure of public opinion keeps those persons in check and prevents the nation as a whole from becoming corrupted. But if instead of censuring such individuals, the nation leaves them free to behave corruptly, the corruption originally confined to a few continues to spread till it engulfs the whole nation. It was this which ultimately caused the degeneration of Israel. (For the curse against Israel in the words of David and Jesus see Psalms 10, 50 and Matthew 23.)'"
748,5,80,"Thou seest many of them turning in friendship to the Unbelievers. Evil indeed are (the works) which their souls have sent forward before them (with the result), that Allah's wrath is on them, and in torment will they abide.",b'There is no commentary by Abul Maududi available for this verse.'
749,5,81,"If only they had believed in Allah, in the Prophet, and in what hath been revealed to him, never would they have taken them for friends and protectors, but most of them are rebellious wrong-doers.","b'103. It seems natural that those who believe in God and the Prophets and the Scriptures, compared with the polytheists, would naturally be more sympathetic to those who at least share with them belief in God, in prophethood and in .revelation (whatever their disagreements on other religious issues). It was ironic, therefore, that the Jews should openly support the polytheists in the struggle between polytheism and monotheism, and that their sympathies in the conflict between those who rejected prophethood and those who believed in it should lie expressly with the former. Despite all this, they brazenly claimed to be true believers in God, in the Prophets and in the Scriptures.'"
750,5,82,"Strongest among men in enmity to the believers wilt thou find the Jews and Pagans; and nearest among them in love to the believers wilt thou find those who say, ""We are Christians"": because amongst these are men devoted to learning and men who have renounced the world, and they are not arrogant.",b'There is no commentary by Abul Maududi available for this verse.'
751,5,83,"And when they listen to the revelation received by the Messenger, thou wilt see their eyes overflowing with tears, for they recognise the truth: they pray: ""Our Lord! we believe; write us down among the witnesses.",b'There is no commentary by Abul Maududi available for this verse.'
752,5,84,"""What cause can we have not to believe in Allah and the truth which has come to us, seeing that we long for our Lord to admit us to the company of the righteous?""",b'There is no commentary by Abul Maududi available for this verse.'
753,5,85,"And for this their prayer hath Allah rewarded them with gardens, with rivers flowing underneath,- their eternal home. Such is the recompense of those who do good.",b'There is no commentary by Abul Maududi available for this verse.'
754,5,86,"But those who reject Faith and belie our Signs,- they shall be companions of Hell-fire.",b'There is no commentary by Abul Maududi available for this verse.'
755,5,87,"O ye who believe! make not unlawful the good things which Allah hath made lawful for you, but commit no excess: for Allah loveth not those given to excess.","b'104. This verse embodies two directives. The first is that man should not attribute to himself the authority to proclaim things either lawful or unlawful according to his own wishes. Only that which God has held to be lawful is lawful, and only that which God has declared unlawful is unlawful. If men were to declare certain things either lawful or unlawful on their own authority, they would not be following the law of God but their own laws. The second directive is that they should not adopt the course of world-renunciation and abstention from worldly pleasures as the Christian monks, Hindu mendicants, Buddhist bhikshus and illuminist mystics did. Religious-minded and virtuous people have always tended to consider their physical and carnal desires an impediment to spiritual growth. They have considered suffering, deprivation from worldly pleasures and abstention from the means of worldly sustenance to be acts of goodness and indispensable for achieving proximity to God. Even some of the Companions leaned in this direction. The Prophet (peace be on him) once came to know that some Companions had resolved that they would fast without interruption, that instead of spending the night on their beds they would remain awake praying, that they would consume neither meat nor fat, and would have no (sexual) relations with women. The Prophet (peace be on him) addressed the people on this subject and said: \x91I have not been commanded to do so. Even your own self has rights against you. So, fast on certain days and refrain from fasting on others. Stay awake praying at night and also sleep. Look at me; 1 sleep as well as stay awake (praying); sometimes I fast and sometimes I don\x92t. I consume meat as well as fat. Whosoever dislikes my way does not belong to me.\x92 He then added: \x91What has happened to people that they have prohibited for themselves women, good food, perfumes, sleep and the pleasures of the world, whereas I have not taught you to become monks and priests. In my religion there is neither abstention from women nor from meat, neither seclusion nor withdrawal.'"
756,5,88,"Eat of the things which Allah hath provided for you, lawful and good; but fear Allah, in Whom ye believe.",b'There is no commentary by Abul Maududi available for this verse.'
757,5,89,"Allah will not call you to account for what is futile in your oaths, but He will call you to account for your deliberate oaths: for expiation, feed ten indigent persons, on a scale of the average for the food of your families; or clothe them; or give a slave his freedom. If that is beyond your means, fast for three days. That is the expiation for the oaths ye have sworn. But keep to your oaths. Thus doth Allah make clear to you His signs, that ye may be grateful.","b'106. Since some people had taken an oath prohibiting for themselves the things which He had permitted, God laid down this injunction regarding oaths made inadvertently. The injunction makes it unnecessary to feel bound by the terms of inadvertent oaths, and for which one will not be reproached by God. And if a person had deliberately made an oath which entails sin he should not abide by his oath and should expiate it (see Towards Understanding the Qur\x92an, vol. I, (Surah 2,nn. 243-4); for expiation see (Surah 4, n. 125) above.'"
758,5,90,"O ye who believe! Intoxicants and gambling, (dedication of) stones, and (divination by) arrows, are an abomination,- of Satan's handwork: eschew such (abomination), that ye may prosper.",b'108.For \x91altars\x92 and divination by arrows see (nn.12 )and 14 )above. For games of chance see (n. 14) above.'
759,5,91,"Satan's plan is (but) to excite enmity and hatred between you, with intoxicants and gambling, and hinder you from the remembrance of Allah, and from prayer: will ye not then abstain?",b'There is no commentary by Abul Maududi available for this verse.'
760,5,92,"Obey Allah, and obey the Messenger, and beware (of evil): if ye do turn back, know ye that it is Our Messenger's duty to proclaim (the message) in the clearest manner.",b'There is no commentary by Abul Maududi available for this verse.'
761,5,93,"On those who believe and do deeds of righteousness there is no blame for what they ate (in the past), when they guard themselves from evil, and believe, and do deeds of righteousness,- (or) again, guard themselves from evil and believe,- (or) again, guard themselves from evil and do good. For Allah loveth those who do good.",b'There is no commentary by Abul Maududi available for this verse.'
762,5,94,"O ye who believe! Allah doth but make a trial of you in a little matter of game well within reach of game well within reach of your hands and your lances, that He may test who feareth him unseen: any who transgress thereafter, will have a grievous penalty.",b'There is no commentary by Abul Maududi available for this verse.'
763,5,95,"O ye who believe! Kill not game while in the sacred precincts or in pilgrim garb. If any of you doth so intentionally, the compensation is an offering, brought to the Ka'ba, of a domestic animal equivalent to the one he killed, as adjudged by two just men among you; or by way of atonement, the feeding of the indigent; or its equivalent in fasts: that he may taste of the penalty of his deed. Allah forgives what is past: for repetition Allah will exact from him the penalty. For Allah is Exalted, and Lord of Retribution.","b'110. When a person is in the state of pilgrim sanctity (ihram) it is prohibited for him both to hunt and to assist in hunting animals. Indeed, even if an animal has been hunted for him by someone else he may not eat it. However, if someone hunts an animal for himself and makes a gift of it to such a person, there is no harm in his eating it. There is an exception to this injunction and that is with regard to harmful animals. Snakes, scorpions, mad dogs and other such animals which cause injury to man may be killed even by one in the state of ihram. (See Bukhari, \x91Talaq\x92, 24; \x91Sayd\x92, 2; Abu Da\x92ud, \x91Manasik\x92, 40, 41; Tirmidhi, Hajj\x92, 27; \x91Sayd\x92, 26 \x96 Ed.)'"
764,5,96,"Lawful to you is the pursuit of water-game and its use for food,- for the benefit of yourselves and those who travel; but forbidden is the pursuit of land-game;- as long as ye are in the sacred precincts or in pilgrim garb. And fear Allah, to Whom ye shall be gathered back.","b'112. Since one often runs out of provisions during a voyage and is left with no alternative but to catch sea creatures, fishing in the sea has been made lawful.'"
765,5,97,"Allah made the Ka'ba, the Sacred House, an asylum of security for men, as also the Sacred Months, the animals for offerings, and the garlands that mark them: That ye may know that Allah hath knowledge of what is in the heavens and on earth and that Allah is well acquainted with all things.","b'113. In Arabia, the Ka\x92bah was not merely a sacred place of worship. Thanks to its central position and its sanctity, it nurtured the economic and cultural life of the whole peninsula. Since the entire populace was drawn towards the Ka\x92bah for the performance of Hajj and \x91Umrah, their coming together brought about a measure of unity in the life of the Arabs which was otherwise rent with disunity. This enabled the people of various regions and tribes to establish social and cultural ties among themselves. Moreover, the security which reigned in the vicinity of the Ka\x92bah provided an impetus to creative literary activity, with the result that in the fairs held in the sacred territory, poets placed their poetic compositions before the audience, trying to excel one another. This led to the growth and flowering of their language and literature. Thanks, again, to the peace and security which reigned in the sacred territory, it became a major centre of trade and commerce. Moreover, since certain months of the year were regarded as sacred months in which there could be no bloodshed, the Arabs enjoyed peace and security for about a quarter of the year. It was during this period that caravans moved in freedom and with ease from one end of the peninsula to the other. The custom of consecrating animals for sacrifice, marked off from others by the collars around their necks, also facilitated the movement of caravans, for whenever the Arabs saw those animals with their collars signifying consecration for sacrifice, they-bent their heads in reverence and no predatory tribe had the courage to molest them.'"
766,5,98,"Know ye that Allah is strict in punishment and that Allah is Oft-forgiving, Most Merciful.",b'There is no commentary by Abul Maududi available for this verse.'
767,5,99,The Messenger's duty is but to proclaim (the message). But Allah knoweth all that ye reveal and ye conceal.,b'There is no commentary by Abul Maududi available for this verse.'
768,5,100,"Say: ""Not equal are things that are bad and things that are good, even though the abundance of the bad may dazzle thee; so fear Allah, O ye that understand; that (so) ye may prosper.""","b'115. This verse enunciates a standard of evaluation and judgement quite distinct from the standards employed by superficial people. For the latter, for instance, a hundred dollars are worth more than five dollars, since a hundred is more than five. But, according to this verse, if those hundred dollars have been earned in a manner entailing the disobedience of God the entire amount becomes unclean. If, on the contrary, a man earns five dollars while obeying God then this amount is clean; and anything which is unclean, whatever its quantity, cannot be worth that which is clean. A drop of perfume is more valuable than a heap of filth; a palmful of clean water is much more valuable than a huge cauldron brimming with urine. A truly wise person should therefore necessarily be content with whatever he acquires by clean, permissible means, however small and humble its quantity may be. He should not reach out for what is prohibited, however large in quantity and glittering in appearance.'"
769,5,101,"O ye who believe! Ask not questions about things which, if made plain to you, may cause you trouble. But if ye ask about things when the Qur'an is being revealed, they will be made plain to you, Allah will forgive those: for Allah is Oft-forgiving, Most Forbearing.","b'116. People used to ask the Prophet (peace be on him) many questions which were of no practical relevance to either religious or day-to-day affairs. Once, for instance, a person asked the Prophet (peace be on him) in the presence of a crowd: \x91Who is my real father?\x92 Likewise, many people used to ask unnecessary questions about legal matters. By these uncalled for inquiries they sought knowledge of matters which had for good reasons, been deliberately left undetermined by the Law-giver. In the Qur\x92an, for example. Pilgrimage had been declared obligatory. A person who became aware of this came to the Prophet (peace be on him) and inquired: \x91Has it been made obligatory to perform it every year?\x92 To this the Prophet (peace be on him) made no reply. When he inquired for the second time the Prophet (peace be on him) again stayed silent. On being asked for the third time, he said: \x91Pity on you! Had I uttered \x93Yes\x94 in reply to your question, it would have become obligatory to perform it every year. And then you would not have been able to observe it and would have been guilty of disobedience.\x92 (See Bukhari, \x91Riqaq\x92, 22; \x91Zakah\x92, 53; I\x92tisam\x92, 3; \x91Adab\x92, 6; Muslim, \x91Aqdiyah\x92, 10, 11, 13, 14; Darimi, \x91Riqaq\x92, 38; Muwatta\x92, \x91Kalam\x92, 20; Ahmad b. Hanbal, Musnad, vol. 2, pp. 327, 360, 367; vol. 4, pp. 246, 249, 250, 251, 255 \x96 Ed.)'"
770,5,102,"Some people before you did ask such questions, and on that account lost their faith.","b'117. Some people first indulged in hair-splitting arguments about their laws and dogma, and thereby wove a great web of credal elaborations and legal minutiae. Then they became enmeshed in this same web and thus became guilty of dogmatic errors and the violation of their own religious laws. The people referred to here are the Jews, and the Muslims who followed in their footsteps and left no stone unturned, despite the warnings contained in the Qur\x92an and in the sayings of the Prophet Muhammad (peace be on him).'"
