Name,Surah,Ayat,Arabic
The Heights,7,32,قُلْ مَنْ حَرَّمَ زِينَةَ ٱللَّهِ ٱلَّتِيۤ أَخْرَجَ لِعِبَادِهِ وَالْطَّيِّبَاتِ مِنَ ٱلرِّزْقِ قُلْ هِي لِلَّذِينَ آمَنُواْ فِي ٱلْحَيَاةِ ٱلدُّنْيَا خَالِصَةً يَوْمَ ٱلْقِيَامَةِ كَذَلِكَ نُفَصِّلُ ٱلآيَاتِ لِقَوْمٍ يَعْلَمُونَ
The Heights,7,33,قُلْ إِنَّمَا حَرَّمَ رَبِّيَ ٱلْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ وَٱلإِثْمَ وَٱلْبَغْيَ بِغَيْرِ ٱلْحَقِّ وَأَن تُشْرِكُواْ بِٱللَّهِ مَا لَمْ يُنَزِّلْ بِهِ سُلْطَاناً وَأَن تَقُولُواْ عَلَى ٱللَّهِ مَا لاَ تَعْلَمُونَ
The Heights,7,34,وَلِكُلِّ أُمَّةٍ أَجَلٌ فَإِذَا جَآءَ أَجَلُهُمْ لاَ يَسْتَأْخِرُونَ سَاعَةً وَلاَ يَسْتَقْدِمُونَ
The Heights,7,35,يَابَنِيۤ ءَادَمَ إِمَّا يَأْتِيَنَّكُمْ رُسُلٌ مِّنكُمْ يَقُصُّونَ عَلَيْكُمْ آيَاتِي فَمَنِ ٱتَّقَىٰ وَأَصْلَحَ فَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ
The Heights,7,36,وَٱلَّذِينَ كَذَّبُواْ بِآيَٰتِنَا وَٱسْتَكْبَرُواْ عَنْهَآ أُوْلَـٰئِكَ أَصْحَٰبُ ٱلنَّارِ هُمْ فِيهَا خَٰلِدُونَ
The Heights,7,37,فَمَنْ أَظْلَمُ مِمَّنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ كَذِباً أَوْ كَذَّبَ بِآيَاتِهِ أُوْلَـٰئِكَ يَنَالُهُمْ نَصِيبُهُم مِّنَ ٱلْكِتَابِ حَتَّىٰ إِذَا جَآءَتْهُمْ رُسُلُنَا يَتَوَفَّوْنَهُمْ قَالُوۤاْ أَيْنَ مَا كُنتُمْ تَدْعُونَ مِن دُونِ ٱللَّهِ قَالُواْ ضَلُّواْ عَنَّا وَشَهِدُواْ عَلَىٰ أَنْفُسِهِمْ أَنَّهُمْ كَانُواْ كَافِرِينَ
The Heights,7,38,قَالَ ٱدْخُلُواْ فِيۤ أُمَمٍ قَدْ خَلَتْ مِن قَبْلِكُمْ مِّن ٱلْجِنِّ وَٱلإِنْسِ فِي ٱلنَّارِ كُلَّمَا دَخَلَتْ أُمَّةٌ لَّعَنَتْ أُخْتَهَا حَتَّىٰ إِذَا ٱدَّارَكُواْ فِيهَا جَمِيعاً قَالَتْ أُخْرَاهُمْ لأُولاَهُمْ رَبَّنَا هَـٰؤُلاۤءِ أَضَلُّونَا فَآتِهِمْ عَذَاباً ضِعْفاً مِّنَ ٱلنَّارِ قَالَ لِكُلٍّ ضِعْفٌ وَلَـٰكِن لاَّ تَعْلَمُونَ
The Heights,7,39,وَقَالَتْ أُولاَهُمْ لأُخْرَاهُمْ فَمَا كَانَ لَكُمْ عَلَيْنَا مِن فَضْلٍ فَذُوقُواْ ٱلْعَذَابَ بِمَا كُنتُمْ تَكْسِبُونَ
The Heights,7,40,إِنَّ ٱلَّذِينَ كَذَّبُواْ بِآيَٰتِنَا وَٱسْتَكْبَرُواْ عَنْهَا لاَ تُفَتَّحُ لَهُمْ أَبْوَابُ ٱلسَّمَآءِ وَلاَ يَدْخُلُونَ ٱلْجَنَّةَ حَتَّىٰ يَلِجَ ٱلْجَمَلُ فِي سَمِّ ٱلْخِيَاطِ وَكَذٰلِكَ نَجْزِي ٱلْمُجْرِمِينَ
The Heights,7,41,لَهُمْ مِّن جَهَنَّمَ مِهَادٌ وَمِن فَوْقِهِمْ غَوَاشٍ وَكَذٰلِكَ نَجْزِي ٱلظَّالِمِينَ
The Heights,7,42,وَٱلَّذِينَ آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ لاَ نُكَلِّفُ نَفْساً إِلاَّ وُسْعَهَا أُوْلَـٰئِكَ أَصْحَابُ ٱلْجَنَّةِ هُمْ فِيهَا خَالِدُونَ
The Heights,7,43,وَنَزَعْنَا مَا فِي صُدُورِهِم مِّنْ غِلٍّ تَجْرِي مِن تَحْتِهِمُ ٱلأَنْهَٰرُ وَقَالُواْ ٱلْحَمْدُ للَّهِ ٱلَّذِي هَدَانَا لِهَـٰذَا وَمَا كُنَّا لِنَهْتَدِيَ لَوْلاۤ أَنْ هَدَانَا ٱللَّهُ لَقَدْ جَآءَتْ رُسُلُ رَبِّنَا بِٱلْحَقِّ وَنُودُوۤاْ أَن تِلْكُمُ ٱلْجَنَّةُ أُورِثْتُمُوهَا بِمَا كُنتُمْ تَعْمَلُونَ
The Heights,7,44,وَنَادَىۤ أَصْحَابُ ٱلْجَنَّةِ أَصْحَابَ ٱلنَّارِ أَن قَدْ وَجَدْنَا مَا وَعَدَنَا رَبُّنَا حَقّاً فَهَلْ وَجَدتُّم مَّا وَعَدَ رَبُّكُمْ حَقّاً قَالُواْ نَعَمْ فَأَذَّنَ مُؤَذِّنٌ بَيْنَهُمْ أَن لَّعْنَةُ ٱللَّهِ عَلَى ٱلظَّالِمِينَ
The Heights,7,45,ٱلَّذِينَ يَصُدُّونَ عَن سَبِيلِ ٱللَّهِ وَيَبْغُونَهَا عِوَجاً وَهُمْ بِٱلآخِرَةِ كَافِرُونَ
The Heights,7,46,وَبَيْنَهُمَا حِجَابٌ وَعَلَى ٱلأَعْرَافِ رِجَالٌ يَعْرِفُونَ كُلاًّ بِسِيمَاهُمْ وَنَادَوْاْ أَصْحَابَ ٱلْجَنَّةِ أَن سَلاَمٌ عَلَيْكُمْ لَمْ يَدْخُلُوهَا وَهُمْ يَطْمَعُونَ
The Heights,7,47,وَإِذَا صُرِفَتْ أَبْصَارُهُمْ تِلْقَآءَ أَصْحَابِ ٱلنَّارِ قَالُواْ رَبَّنَا لاَ تَجْعَلْنَا مَعَ ٱلْقَوْمِ ٱلظَّالِمِينَ
The Heights,7,48,وَنَادَىٰ أَصْحَابُ ٱلأَعْرَافِ رِجَالاً يَعْرِفُونَهُمْ بِسِيمَاهُمْ قَالُواْ مَآ أَغْنَىٰ عَنكُمْ جَمْعُكُمْ وَمَا كُنْتُمْ تَسْتَكْبِرُونَ
The Heights,7,49,أَهَـۤؤُلاۤءِ ٱلَّذِينَ أَقْسَمْتُمْ لاَ يَنَالُهُمُ ٱللَّهُ بِرَحْمَةٍ ٱدْخُلُواْ ٱلْجَنَّةَ لاَ خَوْفٌ عَلَيْكُمْ وَلاَ أَنتُمْ تَحْزَنُونَ
The Heights,7,50,وَنَادَىٰ أَصْحَابُ ٱلنَّارِ أَصْحَابَ ٱلْجَنَّةِ أَنْ أَفِيضُواْ عَلَيْنَا مِنَ ٱلْمَآءِ أَوْ مِمَّا رَزَقَكُمُ ٱللَّهُ قَالُوۤاْ إِنَّ ٱللَّهَ حَرَّمَهُمَا عَلَى ٱلْكَافِرِينَ
The Heights,7,51,ٱلَّذِينَ ٱتَّخَذُواْ دِينَهُمْ لَهْواً وَلَعِباً وَغَرَّتْهُمُ ٱلْحَيَٰوةُ ٱلدُّنْيَا فَٱلْيَوْمَ نَنسَـٰهُمْ كَمَا نَسُواْ لِقَآءَ يَوْمِهِمْ هَـٰذَا وَمَا كَانُواْ بِآيَٰتِنَا يَجْحَدُونَ
The Heights,7,52,وَلَقَدْ جِئْنَاهُمْ بِكِتَابٍ فَصَّلْنَاهُ عَلَىٰ عِلْمٍ هُدًى وَرَحْمَةً لِّقَوْمٍ يُؤْمِنُونَ
The Heights,7,53,هَلْ يَنظُرُونَ إِلاَّ تَأْوِيلَهُ يَوْمَ يَأْتِي تَأْوِيلُهُ يَقُولُ ٱلَّذِينَ نَسُوهُ مِن قَبْلُ قَدْ جَآءَتْ رُسُلُ رَبِّنَا بِٱلْحَقِّ فَهَل لَّنَا مِن شُفَعَآءَ فَيَشْفَعُواْ لَنَآ أَوْ نُرَدُّ فَنَعْمَلَ غَيْرَ ٱلَّذِي كُنَّا نَعْمَلُ قَدْ خَسِرُوۤاْ أَنْفُسَهُمْ وَضَلَّ عَنْهُمْ مَّا كَانُواْ يَفْتَرُونَ
The Heights,7,54,إِنَّ رَبَّكُمُ ٱللَّهُ ٱلَّذِي خَلَقَ ٱلسَمَٰوَٰتِ وَٱلأَرْضَ فِي سِتَّةِ أَيَّامٍ ثُمَّ ٱسْتَوَىٰ عَلَى ٱلْعَرْشِ يُغْشِي ٱلَّيلَ ٱلنَّهَارَ يَطْلُبُهُ حَثِيثاً وَٱلشَّمْسَ وَٱلْقَمَرَ وَٱلنُّجُومَ مُسَخَّرَاتٍ بِأَمْرِهِ أَلاَ لَهُ ٱلْخَلْقُ وَٱلأَمْرُ تَبَارَكَ ٱللَّهُ رَبُّ ٱلْعَالَمِينَ
The Heights,7,55,ٱدْعُواْ رَبَّكُمْ تَضَرُّعاً وَخُفْيَةً إِنَّهُ لاَ يُحِبُّ ٱلْمُعْتَدِينَ
The Heights,7,56,وَلاَ تُفْسِدُواْ فِي ٱلأَرْضِ بَعْدَ إِصْلاَحِهَا وَٱدْعُوهُ خَوْفاً وَطَمَعاً إِنَّ رَحْمَتَ ٱللَّهِ قَرِيبٌ مِّنَ ٱلْمُحْسِنِينَ
The Heights,7,57,وَهُوَ ٱلَّذِي يُرْسِلُ ٱلرِّيَاحَ بُشْراً بَيْنَ يَدَيْ رَحْمَتِهِ حَتَّىٰ إِذَآ أَقَلَّتْ سَحَاباً ثِقَالاً سُقْنَاهُ لِبَلَدٍ مَّيِّتٍ فَأَنْزَلْنَا بِهِ ٱلْمَآءَ فَأَخْرَجْنَا بِهِ مِن كُلِّ ٱلثَّمَرَاتِ كَذٰلِكَ نُخْرِجُ ٱلْموْتَىٰ لَعَلَّكُمْ تَذَكَّرُونَ
The Heights,7,58,وَٱلْبَلَدُ ٱلطَّيِّبُ يَخْرُجُ نَبَاتُهُ بِإِذْنِ رَبِّهِ وَٱلَّذِي خَبُثَ لاَ يَخْرُجُ إِلاَّ نَكِداً كَذٰلِكَ نُصَرِّفُ ٱلآيَاتِ لِقَوْمٍ يَشْكُرُونَ
The Heights,7,59,لَقَدْ أَرْسَلْنَا نُوحاً إِلَىٰ قَوْمِهِ فَقَالَ يَاقَوْمِ ٱعْبُدُواْ ٱللَّهَ مَا لَكُمْ مِّنْ إِلَـٰهٍ غَيْرُهُ إِنِّيۤ أَخَافُ عَلَيْكُمْ عَذَابَ يَوْمٍ عَظِيمٍ
The Heights,7,60,قَالَ ٱلْمَلأُ مِن قَوْمِهِ إِنَّا لَنَرَاكَ فِي ضَلاَلٍ مُّبِينٍ
The Heights,7,61,قَالَ يَٰقَوْمِ لَيْسَ بِي ضَلَـٰلَةٌ وَلَٰكِنِّي رَسُولٌ مِّن رَّبِّ ٱلْعَـٰلَمِينَ
The Heights,7,62,أُبَلِّغُكُمْ رِسَالاَتِ رَبِّي وَأَنصَحُ لَكُمْ وَأَعْلَمُ مِنَ ٱللَّهِ مَا لاَ تَعْلَمُونَ
The Heights,7,63,أَوَ عَجِبْتُمْ أَن جَآءَكُمْ ذِكْرٌ مِّن رَّبِّكُمْ عَلَىٰ رَجُلٍ مِّنْكُمْ لِيُنذِرَكُمْ وَلِتَتَّقُواْ وَلَعَلَّكُمْ تُرْحَمُونَ
The Heights,7,64,فَكَذَّبُوهُ فَأَنجَيْنَاهُ وَٱلَّذِينَ مَعَهُ فِي ٱلْفُلْكِ وَأَغْرَقْنَا ٱلَّذِينَ كَذَّبُواْ بِآيَاتِنَآ إِنَّهُمْ كَانُواْ قَوْماً عَمِينَ
The Heights,7,65,وَإِلَىٰ عَادٍ أَخَاهُمْ هُوداً قَالَ يَاقَوْمِ ٱعْبُدُواْ ٱللَّهَ مَا لَكُمْ مِّنْ إِلَـٰهٍ غَيْرُهُ أَفَلاَ تَتَّقُونَ
The Heights,7,66,قَالَ ٱلْمَلأُ ٱلَّذِينَ كَفَرُواْ مِن قَوْمِهِ إِنَّا لَنَرَاكَ فِي سَفَاهَةٍ وِإِنَّا لَنَظُنُّكَ مِنَ ٱلْكَاذِبِينَ
The Heights,7,67,قَالَ يَٰقَوْمِ لَيْسَ بِي سَفَاهَةٌ وَلَٰكِنِّي رَسُولٌ مِّن رَّبِّ ٱلْعَٰلَمِينَ
The Heights,7,68,أُبَلِّغُكُمْ رِسَٰلٰتِ رَبِّي وَأَنَاْ لَكُمْ نَاصِحٌ أَمِينٌ
The Heights,7,69,أَوَ عَجِبْتُمْ أَن جَآءَكُمْ ذِكْرٌ مِّن رَّبِّكُمْ عَلَىٰ رَجُلٍ مِّنكُمْ لِيُنذِرَكُمْ وَٱذكُرُوۤاْ إِذْ جَعَلَكُمْ خُلَفَآءَ مِن بَعْدِ قَوْمِ نُوحٍ وَزَادَكُمْ فِي ٱلْخَلْقِ بَصْطَةً فَٱذْكُرُوۤاْ ءَالآءَ ٱللَّهِ لَعَلَّكُمْ تُفْلِحُونَ
The Heights,7,70,قَالُوۤاْ أَجِئْتَنَا لِنَعْبُدَ ٱللَّهَ وَحْدَهُ وَنَذَرَ مَا كَانَ يَعْبُدُ آبَاؤُنَا فَأْتِنَا بِمَا تَعِدُنَآ إِن كُنتَ مِنَ ٱلصَّادِقِينَ
The Heights,7,71,قَالَ قَدْ وَقَعَ عَلَيْكُمْ مِّن رَّبِّكُمْ رِجْسٌ وَغَضَبٌ أَتُجَٰدِلُونَنِي فِيۤ أَسْمَآءٍ سَمَّيْتُمُوهَآ أَنْتُمْ وَآبَآؤكُمُ مَّا نَزَّلَ ٱللَّهُ بِهَا مِن سُلْطَانٍ فَٱنْتَظِرُوۤاْ إِنِّي مَعَكُمْ مِّنَ ٱلْمُنْتَظِرِينَ
The Heights,7,72,فَأَنجَيْنَاهُ وَٱلَّذِينَ مَعَهُ بِرَحْمَةٍ مِّنَّا وَقَطَعْنَا دَابِرَ ٱلَّذِينَ كَذَّبُواْ بِآيَاتِنَا وَمَا كَانُواْ مُؤْمِنِينَ
The Heights,7,73,وَإِلَىٰ ثَمُودَ أَخَاهُمْ صَالِحاً قَالَ يَاقَوْمِ ٱعْبُدُواْ ٱللَّهَ مَا لَكُمْ مِّنْ إِلَـٰهٍ غَيْرُهُ قَدْ جَآءَتْكُمْ بَيِّنَةٌ مِّن رَّبِّكُمْ هَـٰذِهِ نَاقَةُ ٱللَّهِ لَكُمْ آيَةً فَذَرُوهَا تَأْكُلْ فِيۤ أَرْضِ ٱللَّهِ وَلاَ تَمَسُّوهَا بِسُوۤءٍ فَيَأْخُذَكُمْ عَذَابٌ أَلِيمٌ
The Heights,7,74,وَٱذْكُرُوۤاْ إِذْ جَعَلَكُمْ خُلَفَآءَ مِن بَعْدِ عَادٍ وَبَوَّأَكُمْ فِي ٱلأَرْضِ تَتَّخِذُونَ مِن سُهُولِهَا قُصُوراً وَتَنْحِتُونَ ٱلْجِبَالَ بُيُوتاً فَٱذْكُرُوۤاْ آلآءَ ٱللَّهِ وَلاَ تَعْثَوْا فِي ٱلأَرْضِ مُفْسِدِينَ
The Heights,7,75,قَالَ ٱلْمَلأُ ٱلَّذِينَ ٱسْتَكْبَرُواْ مِن قَوْمِهِ لِلَّذِينَ ٱسْتُضْعِفُواْ لِمَنْ آمَنَ مِنْهُمْ أَتَعْلَمُونَ أَنَّ صَالِحاً مُّرْسَلٌ مِّن رَّبِّهِ قَالُوۤاْ إِنَّا بِمَآ أُرْسِلَ بِهِ مُؤْمِنُونَ
The Heights,7,76,قَالَ ٱلَّذِينَ ٱسْتَكْبَرُوۤاْ إِنَّا بِٱلَّذِيۤ آمَنتُمْ بِهِ كَافِرُونَ
The Heights,7,77,فَعَقَرُواْ ٱلنَّاقَةَ وَعَتَوْاْ عَنْ أَمْرِ رَبِّهِمْ وَقَالُواْ يَاصَالِحُ ٱئْتِنَا بِمَا تَعِدُنَآ إِن كُنتَ مِنَ ٱلْمُرْسَلِينَ
The Heights,7,78,فَأَخَذَتْهُمُ ٱلرَّجْفَةُ فَأَصْبَحُواْ فِي دَارِهِمْ جَاثِمِينَ
The Heights,7,79,فَتَوَلَّىٰ عَنْهُمْ وَقَالَ يَٰقَوْمِ لَقَدْ أَبْلَغْتُكُمْ رِسَالَةَ رَبِّي وَنَصَحْتُ لَكُمْ وَلَكِن لاَّ تُحِبُّونَ ٱلنَّٰصِحِينَ
The Heights,7,80,وَلُوطاً إِذْ قَالَ لِقَوْمِهِ أَتَأْتُونَ ٱلْفَاحِشَةَ مَا سَبَقَكُمْ بِهَا مِنْ أَحَدٍ مِّن ٱلْعَالَمِينَ
The Heights,7,81,إِنَّكُمْ لَتَأْتُونَ ٱلرِّجَالَ شَهْوَةً مِّن دُونِ ٱلنِّسَآءِ بَلْ أَنْتُمْ قَوْمٌ مُّسْرِفُونَ
The Heights,7,82,وَمَا كَانَ جَوَابَ قَوْمِهِ إِلاَّ أَن قَالُوۤاْ أَخْرِجُوهُمْ مِّن قَرْيَتِكُمْ إِنَّهُمْ أُنَاسٌ يَتَطَهَّرُونَ
The Heights,7,83,فَأَنجَيْنَاهُ وَأَهْلَهُ إِلاَّ ٱمْرَأَتَهُ كَانَتْ مِنَ ٱلْغَابِرِينَ
The Heights,7,84,وَأَمْطَرْنَا عَلَيْهِمْ مَّطَراً فَٱنْظُرْ كَيْفَ كَانَ عَاقِبَةُ ٱلْمُجْرِمِينَ
The Heights,7,85,وَإِلَىٰ مَدْيَنَ أَخَاهُمْ شُعَيْباً قَالَ يَاقَوْمِ ٱعْبُدُواْ ٱللَّهَ مَا لَكُمْ مِّنْ إِلَـٰهٍ غَيْرُهُ قَدْ جَآءَتْكُمْ بَيِّنَةٌ مِّن رَّبِّكُمْ فَأَوْفُواْ ٱلْكَيْلَ وَٱلْمِيزَانَ وَلاَ تَبْخَسُواْ ٱلنَّاسَ أَشْيَاءَهُمْ وَلاَ تُفْسِدُواْ فِي ٱلأَرْضِ بَعْدَ إِصْلاَحِهَا ذٰلِكُمْ خَيْرٌ لَّكُمْ إِن كُنتُمْ مُّؤْمِنِينَ
The Heights,7,86,وَلاَ تَقْعُدُواْ بِكُلِّ صِرَاطٍ تُوعِدُونَ وَتَصُدُّونَ عَن سَبِيلِ ٱللَّهِ مَنْ آمَنَ بِهِ وَتَبْغُونَهَا عِوَجاً وَٱذْكُرُوۤاْ إِذْ كُنْتُمْ قَلِيلاً فَكَثَّرَكُمْ وَٱنْظُرُواْ كَيْفَ كَانَ عَاقِبَةُ ٱلْمُفْسِدِينَ
The Heights,7,87,وَإِن كَانَ طَآئِفَةٌ مِّنكُمْ آمَنُواْ بِٱلَّذِيۤ أُرْسِلْتُ بِهِ وَطَآئِفَةٌ لَّمْ يْؤْمِنُواْ فَٱصْبِرُواْ حَتَّىٰ يَحْكُمَ ٱللَّهُ بَيْنَنَا وَهُوَ خَيْرُ ٱلْحَاكِمِينَ
The Heights,7,88,قَالَ ٱلْمَلأُ ٱلَّذِينَ ٱسْتَكْبَرُواْ مِن قَوْمِهِ لَنُخْرِجَنَّكَ يٰشُعَيْبُ وَٱلَّذِينَ آمَنُواْ مَعَكَ مِن قَرْيَتِنَآ أَوْ لَتَعُودُنَّ فِي مِلَّتِنَا قَالَ أَوَلَوْ كُنَّا كَارِهِينَ
The Heights,7,89,قَدِ ٱفْتَرَيْنَا عَلَى ٱللَّهِ كَذِباً إِنْ عُدْنَا فِي مِلَّتِكُمْ بَعْدَ إِذْ نَجَّانَا ٱللَّهُ مِنْهَا وَمَا يَكُونُ لَنَآ أَن نَّعُودَ فِيهَآ إِلاَّ أَن يَشَآءَ ٱللَّهُ رَبُّنَا وَسِعَ رَبُّنَا كُلَّ شَيْءٍ عِلْماً عَلَى ٱللَّهِ تَوَكَّلْنَا رَبَّنَا ٱفْتَحْ بَيْنَنَا وَبَيْنَ قَوْمِنَا بِٱلْحَقِّ وَأَنتَ خَيْرُ ٱلْفَاتِحِينَ
The Heights,7,90,وَقَالَ ٱلْمَلأُ ٱلَّذِينَ كَفَرُواْ مِن قَوْمِهِ لَئِنِ ٱتَّبَعْتُمْ شُعَيْباً إِنَّكُمْ إِذاً لَّخَاسِرُونَ
The Heights,7,91,فَأَخَذَتْهُمُ ٱلرَّجْفَةُ فَأَصْبَحُواْ فِي دَارِهِمْ جَاثِمِينَ
The Heights,7,92,ٱلَّذِينَ كَذَّبُواْ شُعَيْباً كَأَن لَّمْ يَغْنَوْاْ فِيهَا ٱلَّذِينَ كَذَّبُواْ شُعَيْباً كَانُواْ هُمُ ٱلْخَاسِرِينَ
The Heights,7,93,فَتَوَلَّىٰ عَنْهُمْ وَقَالَ يٰقَوْمِ لَقَدْ أَبْلَغْتُكُمْ رِسَـٰلَـٰتِ رَبِّي وَنَصَحْتُ لَكُمْ فَكَيْفَ ءَاسَىٰ عَلَىٰ قَوْمٍ كَٰفِرِينَ
The Heights,7,94,وَمَآ أَرْسَلْنَا فِي قَرْيَةٍ مِّن نَّبِيٍّ إِلاَّ أَخَذْنَا أَهْلَهَا بِٱلْبَأْسَآءِ وَٱلضَّرَّآءِ لَعَلَّهُمْ يَضَّرَّعُونَ
The Heights,7,95,ثُمَّ بَدَّلْنَا مَكَانَ ٱلسَّيِّئَةِ ٱلْحَسَنَةَ حَتَّىٰ عَفَوْاْ وَّقَالُواْ قَدْ مَسَّ آبَاءَنَا ٱلضَّرَّآءُ وَٱلسَّرَّآءُ فَأَخَذْنَاهُمْ بَغْتَةً وَهُمْ لاَ يَشْعُرُونَ
The Heights,7,96,وَلَوْ أَنَّ أَهْلَ ٱلْقُرَىٰ ءَامَنُواْ وَٱتَّقَواْ لَفَتَحْنَا عَلَيْهِمْ بَرَكَٰتٍ مِّنَ ٱلسَّمَآءِ وَٱلأَرْضِ وَلَـٰكِن كَذَّبُواْ فَأَخَذْنَٰهُمْ بِمَا كَانُواْ يَكْسِبُونَ
The Heights,7,97,أَفَأَمِنَ أَهْلُ ٱلْقُرَىٰ أَن يَأْتِيَهُمْ بَأْسُنَا بَيَٰتاً وَهُمْ نَآئِمُونَ
The Heights,7,98,أَوَ أَمِنَ أَهْلُ ٱلْقُرَىٰ أَن يَأْتِيَهُمْ بَأْسُنَا ضُحًى وَهُمْ يَلْعَبُونَ
The Heights,7,99,أَفَأَمِنُواْ مَكْرَ ٱللَّهِ فَلاَ يَأْمَنُ مَكْرَ ٱللَّهِ إِلاَّ ٱلْقَوْمُ ٱلْخَاسِرُونَ
The Heights,7,100,أَوَلَمْ يَهْدِ لِلَّذِينَ يَرِثُونَ ٱلأَرْضَ مِن بَعْدِ أَهْلِهَآ أَن لَّوْ نَشَآءُ أَصَبْنَاهُمْ بِذُنُوبِهِمْ وَنَطْبَعُ عَلَىٰ قُلُوبِهِمْ فَهُمْ لاَ يَسْمَعُونَ
The Heights,7,101,تِلْكَ ٱلْقُرَىٰ نَقُصُّ عَلَيْكَ مِنْ أَنبَآئِهَا وَلَقَدْ جَآءَتْهُمْ رُسُلُهُم بِٱلْبَيِّنَٰتِ فَمَا كَانُواْ لِيُؤْمِنُواْ بِمَا كَذَّبُواْ مِن قَبْلُ كَذَٰلِكَ يَطْبَعُ ٱللَّهُ عَلَىٰ قُلُوبِ ٱلْكَٰفِرِينَ
The Heights,7,102,وَمَا وَجَدْنَا لأَكْثَرِهِم مِّنْ عَهْدٍ وَإِن وَجَدْنَآ أَكْثَرَهُمْ لَفَاسِقِينَ
The Heights,7,103,ثُمَّ بَعَثْنَا مِن بَعْدِهِم مُّوسَىٰ بِآيَٰتِنَآ إِلَىٰ فِرْعَوْنَ وَمَلإِيْهِ فَظَلَمُواْ بِهَا فَٱنْظُرْ كَيْفَ كَانَ عَٰقِبَةُ ٱلْمُفْسِدِينَ
The Heights,7,104,وَقَالَ مُوسَىٰ يٰفِرْعَوْنُ إِنِّي رَسُولٌ مِّن رَّبِّ ٱلْعَالَمِينَ
The Heights,7,105,حَقِيقٌ عَلَىٰ أَنْ لاَّ أَقُولَ عَلَى ٱللَّهِ إِلاَّ ٱلْحَقَّ قَدْ جِئْتُكُمْ بِبَيِّنَةٍ مِّن رَّبِّكُمْ فَأَرْسِلْ مَعِيَ بَنِيۤ إِسْرَائِيلَ
The Heights,7,106,قَالَ إِن كُنتَ جِئْتَ بِآيَةٍ فَأْتِ بِهَآ إِن كُنتَ مِنَ ٱلصَّادِقِينَ
The Heights,7,107,فَأَلْقَىٰ عَصَاهُ فَإِذَا هِيَ ثُعْبَانٌ مُّبِينٌ
The Heights,7,108,وَنَزَعَ يَدَهُ فَإِذَا هِيَ بَيْضَآءُ لِلنَّاظِرِينَ
The Heights,7,109,قَالَ ٱلْمَلأُ مِن قَوْمِ فِرْعَوْنَ إِنَّ هَـٰذَا لَسَاحِرٌ عَلِيمٌ
The Heights,7,110,يُرِيدُ أَن يُخْرِجَكُمْ مِّنْ أَرْضِكُمْ فَمَاذَا تَأْمُرُونَ
The Heights,7,111,قَالُوۤاْ أَرْجِهْ وَأَخَاهُ وَأَرْسِلْ فِي ٱلْمَدَآئِنِ حَاشِرِينَ
The Heights,7,112,يَأْتُوكَ بِكُلِّ سَاحِرٍ عَلِيمٍ
The Heights,7,113,وَجَآءَ ٱلسَّحَرَةُ فِرْعَوْنَ قَالْوۤاْ إِنَّ لَنَا لأَجْراً إِن كُنَّا نَحْنُ ٱلْغَالِبِينَ
The Heights,7,114,قَالَ نَعَمْ وَإِنَّكُمْ لَمِنَ ٱلْمُقَرَّبِينَ
The Heights,7,115,قَالُواْ يٰمُوسَىٰ إِمَّآ أَن تُلْقِيَ وَإِمَّآ أَن نَّكُونَ نَحْنُ ٱلْمُلْقِينَ
The Heights,7,116,قَالَ أَلْقُوْاْ فَلَمَّآ أَلْقَوْاْ سَحَرُوۤاْ أَعْيُنَ ٱلنَّاسِ وَٱسْتَرْهَبُوهُمْ وَجَآءُوا بِسِحْرٍ عَظِيمٍ
The Heights,7,117,وَأَوْحَيْنَآ إِلَىٰ مُوسَىٰ أَنْ أَلْقِ عَصَاكَ فَإِذَا هِيَ تَلْقَفُ مَا يَأْفِكُونَ
The Heights,7,118,فَوَقَعَ ٱلْحَقُّ وَبَطَلَ مَا كَانُواْ يَعْمَلُونَ
The Heights,7,119,فَغُلِبُواْ هُنَالِكَ وَٱنقَلَبُواْ صَاغِرِينَ
The Heights,7,120,وَأُلْقِيَ ٱلسَّحَرَةُ سَاجِدِينَ
The Heights,7,121,قَالُوۤاْ آمَنَّا بِرَبِّ ٱلْعَالَمِينَ
The Heights,7,122,رَبِّ مُوسَىٰ وَهَارُونَ
The Heights,7,123,قَالَ فِرْعَوْنُ آمَنتُمْ بِهِ قَبْلَ أَن آذَنَ لَكُمْ إِنَّ هَـٰذَا لَمَكْرٌ مَّكَرْتُمُوهُ فِي ٱلْمَدِينَةِ لِتُخْرِجُواْ مِنْهَآ أَهْلَهَا فَسَوْفَ تَعْلَمُونَ
The Heights,7,124,لأُقَطِّعَنَّ أَيْدِيَكُمْ وَأَرْجُلَكُمْ مِّنْ خِلاَفٍ ثُمَّ لأُصَلِّبَنَّكُمْ أَجْمَعِينَ
The Heights,7,125,قَالُوۤاْ إِنَّآ إِلَىٰ رَبِّنَا مُنقَلِبُونَ
The Heights,7,126,وَمَا تَنقِمُ مِنَّآ إِلاَّ أَنْ آمَنَّا بِآيَاتِ رَبِّنَا لَمَّا جَآءَتْنَا رَبَّنَآ أَفْرِغْ عَلَيْنَا صَبْراً وَتَوَفَّنَا مُسْلِمِينَ
